Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
NORCO,2022,Adventure,3rd-person (Other),Windows,8.4,88% (16),Raw Fury AB,Raw Fury AB,0.0,1.0,"Graphic adventure, Puzzle elements"
Super Mario Bros. / Duck Hunt,1988,Compilation,,NES,8.4,(35),"Nintendo Co., Ltd.","Nintendo Co., Ltd.",0.0,1.0,
Colin McRae Rally 2.0,2000,Racing / Driving,1st-person,Windows,8.4,88% (39),"Codemasters Software Company Limited, The, Spike Co., Ltd., Imagineer Co., Ltd.","Codemasters Software Company Limited, The",0.0,1.0,"Automobile, Off-roading, Track racing, Vehicle simulator"
SteamWorld Dig 2,2017,Action,Side view,Nintendo Switch,8.4,88% (18),"Image & Form International AB, MP Digital, LLC, Flyhigh Works Co., Ltd., Rising Star Games Ltd.",Image & Form International AB,0.0,1.0,2D scrolling
Alan Wake,2010,Action,Behind view,Xbox 360,8.4,85% (50),"Microsoft Game Studios, ak tronic Software & Services GmbH",Microsoft Game Studios,0.0,1.0,"Quick Time Events (QTEs), Survival horror"
Super Smash Bros. for Wii U,2014,Action,Side view,Wii U,8.4,89% (11),"Sora Ltd., BANDAI NAMCO Games Inc.",Sora Ltd.,0.0,1.0,2D scrolling
God of War: Ghost of Sparta,2010,Action,3rd-person (Other),PSP,8.4,87% (18),"Sony Computer Entertainment America Inc., Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Japan",Sony Computer Entertainment America Inc.,0.0,1.0,"Hack and slash, Puzzle elements, Quick Time Events (QTEs)"
Assassin's Creed: Odyssey,2018,Role-playing (RPG),Behind view,Windows,8.4,86% (31),Ubisoft Entertainment SA,Ubisoft Entertainment SA,0.0,1.0,"Action RPG, Sandbox / open world, Stealth"
Boom Blox,2008,Action,1st-person,Wii,8.4,85% (71),Electronic Arts Los Angeles,Electronic Arts Los Angeles,0.0,1.0,
Portal,2007,Action,1st-person,Windows,8.4,87% (41),"Valve Corporation, Buka Entertainment, CyberFront Corporation, Nvidia Tegra Partners",Valve Corporation,0.0,1.0,Platform
Patapon,2008,Action,Side view,PSP,8.4,85% (74),"Sony Computer Entertainment America Inc., Sony Computer Entertainment Europe Ltd., Sony Interactive Entertainment Inc.",Sony Computer Entertainment America Inc.,0.0,1.0,2D scrolling
Unreal Tournament 2004,2004,Action,1st-person,Windows,8.4,90% (46),"Atari Europe S.A.S.U., MacSoft, Atari, Inc.",Atari Europe S.A.S.U.,0.0,1.0,Shooter
Tony Hawk's Pro Skater 2,2000,Sports,Behind view,PlayStation,8.4,89% (70),"Activision Publishing, Inc., Success Corp., Aspyr Media, Inc.","Activision Publishing, Inc.",0.0,1.0,Tricks / stunts
Forza Motorsport 4,2011,Racing / Driving,1st-person,Xbox 360,8.4,88% (13),Turn 10 Studios,Turn 10 Studios,0.0,1.0,"Automobile, Track racing"
Reset Generation,2008,Strategy,Top-down,J2ME,8.4,91% (8),Nokia Oyj,Nokia Oyj,0.0,1.0,Turn-based
The Ultimate Doom,1995,Action,1st-person,DOS,8.4,83% (38),"id Software, Inc., GT Interactive Software Corp., Activision Publishing, Inc.","id Software, Inc.",0.0,1.0,Shooter
Donkey Kong Country: Tropical Freeze,2014,Action,Side view,Wii U,8.4,86% (33),"Nintendo of America Inc., Nintendo of Europe GmbH, Nintendo Co., Ltd.",Nintendo of America Inc.,0.0,1.0,2D scrolling
Super Castlevania IV,1991,Action,Side view,SNES,8.4,88% (45),"Konami Co., Ltd., Konami, Inc., Konami Deutschland GmbH","Konami Co., Ltd.",0.0,1.0,2D scrolling
Resident Evil 4,2005,Action,Behind view,PlayStation 2,8.4,89% (131),"CE Europe Ltd., Capcom Entertainment, Inc., Capcom Co., Ltd.",CE Europe Ltd.,0.0,1.0,"Puzzle elements, Quick Time Events (QTEs), Shooter, Survival horror"
Crimson Skies: High Road to Revenge,2003,Action,1st-person,Xbox,8.4,88% (39),Microsoft Corporation,Microsoft Corporation,0.0,1.0,Shooter
Mutant Storm,2002,Action,Top-down,Windows,8.4,87% (13),"PomPom Software Ltd., Noviy Disk, Snowball.ru",PomPom Software Ltd.,0.0,1.0,"Arcade, Shooter"
Life Is Strange: Limited Edition,2016,Compilation,Digital extras,PlayStation 4,8.4,85% (1),"Square Enix, Inc., Square Enix Limited","Square Enix, Inc.",0.0,1.0,
Destiny 2: The Witch Queen,2022,DLC / Add-on,Item,Windows,8.4,87% (21),"Bungie, LLC","Bungie, LLC",0.0,1.0,
Minecraft: Nintendo Switch Edition,2017,Action,1st-person,Nintendo Switch,8.4,87% (22),"4J Studios Ltd., Microsoft Studios",4J Studios Ltd.,0.0,1.0,Sandbox / open world
Contra,1988,Action,Behind view,Arcade,8.4,89% (28),"Nintendo of America Inc., Konami, Inc., Konami Industry Co. Ltd.",Nintendo of America Inc.,0.0,1.0,2D scrolling
Baldur's Gate,1998,Role-playing (RPG),Diagonal-down,Windows,8.4,90% (55),"Interplay Productions, Inc., SEGA Enterprises Ltd., Graphsim Entertainment Inc.","Interplay Productions, Inc.",0.0,1.0,"Free-roaming camera, Isometric"
Zero Escape: Volume 2 - Virtue's Last Reward,2012,Adventure,1st-person,Nintendo 3DS,8.4,87% (39),"Chunsoft Co., Ltd., Aksys Games Localization, Inc., Rising Star Games Ltd.","Chunsoft Co., Ltd.",0.0,1.0,Anime / Manga
New Super Mario Bros.,2006,Action,Side view,Nintendo DS,8.4,88% (107),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,2D scrolling
Kirby's Adventure,1993,Action,Side view,NES,8.4,87% (33),"Nintendo of Europe GmbH, Nintendo Co., Ltd., Nintendo of America Inc.",Nintendo of Europe GmbH,0.0,1.0,2D scrolling
Marvel Spider-Man: Miles Morales,2020,Action,Behind view,PlayStation 4,8.4,87% (25),"Sony Interactive Entertainment America LLC, Sony Interactive Entertainment Europe Ltd., Playstation PC LLC",Sony Interactive Entertainment America LLC,0.0,1.0,"Quick Time Events (QTEs), Sandbox / open world, Stealth"
Pokémon Silver Version,1999,Role-playing (RPG),Diagonal-down,Game Boy Color,8.4,88% (15),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Nintendo Co., Ltd.",0.0,1.0,Turn-based
Fable II,2008,Role-playing (RPG),1st-person,Xbox 360,8.4,86% (81),"Microsoft Corporation, ak tronic Software & Services GmbH",Microsoft Corporation,0.0,1.0,Action RPG
NCAA Football 2005,2004,Sports,3rd-person (Other),PlayStation 2,8.4,89% (15),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,Multiple units/characters control
Xenoblade Chronicles X,2015,Compilation,3rd-person (Other),Wii U,8.4,85% (42),"Monolith Software, Inc.","Monolith Software, Inc.",0.0,1.0,Free-roaming camera
Dragon Age: Origins,2009,Role-playing (RPG),Diagonal-down,Windows,8.4,89% (78),"Electronic Arts, Inc., Spike Co., Ltd., ak tronic Software & Services GmbH","Electronic Arts, Inc.",0.0,1.0,"2D scrolling, Free-roaming camera"
Shadow Complex,2009,Action,Side view,Xbox 360,8.4,87% (72),ChAIR Entertainment Group LLC,ChAIR Entertainment Group LLC,0.0,1.0,2D scrolling
Mega Man 2,1988,Action,Side view,NES,8.4,89% (38),"Capcom Co., Ltd., Capcom U.S.A., Inc., CE Europe Ltd.","Capcom Co., Ltd.",0.0,1.0,2D scrolling
Metal Gear Solid: Portable Ops,2006,Action,1st-person,PSP,8.4,87% (67),"Kojima Productions Co., Ltd.","Kojima Productions Co., Ltd.",0.0,1.0,"Shooter, Stealth, Tactical shooter"
Mario Golf,1999,Sports,Behind view,Game Boy Color,8.4,89% (17),"Nintendo Co., Ltd., Nintendo of Europe GmbH, Nintendo of America Inc.","Nintendo Co., Ltd.",0.0,1.0,RPG elements
Bit.Trip Presents... Runner 2: Future Legend of Rh...,2013,Action,Side view,Windows,8.4,86% (44),"Gaijin Games Inc., Aksys Games Localization, Inc.",Gaijin Games Inc.,0.0,1.0,2D scrolling
Super Street Fighter II Turbo: HD Remix,2008,Action,Side view,Xbox 360,8.4,87% (52),"Capcom Entertainment, Inc.","Capcom Entertainment, Inc.",0.0,1.0,2D scrolling
Big Rigs: Over the Road Racing,2003,Racing / Driving,Behind view,Windows,2.2,6% (9),Stellar Stone LLC,Stellar Stone LLC,0.0,1.0,Managerial / business simulation
Action 52,1991,Action,Side view,NES,2.3,8% (7),Active Enterprises Ltd.,Active Enterprises Ltd.,0.0,1.0,"2D scrolling, Fixed / flip-screen"
Superman,1999,Action,Behind view,Nintendo 64,2.7,32% (24),Titus France SA,Titus France SA,0.0,1.0,Direct control
Extreme Paintbrawl,1998,Action,1st-person,Windows,2.7,15% (8),Creative Carnage,Creative Carnage,0.0,1.0,Shooter
Ride to Hell: Retribution,2013,Action,Behind view,Windows,2.8,20% (13),"Deep Silver, Inc.","Deep Silver, Inc.",0.0,1.0,"Quick Time Events (QTEs), Shooter"
Plumbers Don't Wear Ties,1993,Adventure,3rd-person (Other),Windows 3.x,2.9,10% (6),"United Pixtures, Kirin Entertainment",United Pixtures,0.0,1.0,Full Motion Video (FMV)
CheetahMen II,1992,Action,Side view,NES,3.0,12% (2),Active Enterprises Ltd.,Active Enterprises Ltd.,0.0,1.0,2D scrolling
Swedish Erotica: Custer's Revenge,1982,Action,Side view,Atari 2600,3.0,(37),J.H.M. Limited,J.H.M. Limited,0.0,1.0,Fixed / flip-screen
The Uncanny X-Men,1989,Action,Top-down,NES,3.1,20% (7),,,0.0,1.0,Arcade
Aquaman: Battle for Atlantis,2003,Action,1st-person,Xbox,3.1,24% (20),"TDK Mediactive, Inc.","TDK Mediactive, Inc.",0.0,1.0,Arcade
Where's Waldo?,1991,Puzzle,Diagonal-down,NES,3.1,16% (11),Bethesda Softworks LLC,Bethesda Softworks LLC,0.0,1.0,Hidden object
Double Dragon II: Wander of the Dragons,2013,Action,Side view,Xbox 360,3.2,15% (11),Barunson Creative,Barunson Creative,0.0,1.0,"Arcade, Beat 'em up / brawler"
E.T. The Extra-Terrestrial,1982,Action,Diagonal-down,Atari 2600,3.2,43% (15),"Atari, Inc.","Atari, Inc.",0.0,1.0,Fixed / flip-screen
Postal III,2011,Action,Behind view,Windows,3.3,24% (25),"RWS, Inc., TM Studios","RWS, Inc.",0.0,1.0,Shooter
Pizza Dude,2005,Action,3rd-person (Other),Windows,3.3,12% (8),Team6 Game Studios B.V.,Team6 Game Studios B.V.,0.0,1.0,Managerial / business simulation
FlatOut 3: Chaos & Destruction,2011,Action,1st-person,Windows,3.3,25% (22),Team6 Game Studios B.V.,Team6 Game Studios B.V.,0.0,1.0,Direct control
Billy the Wizard: Rocket Broomstick Racing,2006,Racing / Driving,Behind view,Windows,3.4,19% (7),"Metro3D Europe Ltd., Popcorn Arcade",Metro3D Europe Ltd.,0.0,1.0,Flight / aviation
Leisure Suit Larry: Box Office Bust,2009,Action,3rd-person (Other),Windows,3.4,29% (36),"Codemasters Software Company Limited, The","Codemasters Software Company Limited, The",0.0,1.0,Platform
Ninjabread Man,2005,Action,Behind view,Windows,3.4,17% (9),"Data Design Interactive Ltd, Metro3D Europe Ltd., Fairprice Games, Conspiracy Entertainment Corp.",Data Design Interactive Ltd,0.0,1.0,Platform
Charlie's Angels,2003,Action,3rd-person (Other),PlayStation 2,3.5,26% (20),Ubisoft Entertainment SA,Ubisoft Entertainment SA,0.0,1.0,"Beat 'em up / brawler, Platform"
Dick Marcinko: Rogue Warrior,2009,Action,1st-person,Windows,3.5,28% (32),"Bethesda Softworks LLC, 1C-SoftClub",Bethesda Softworks LLC,0.0,1.0,"Shooter, Stealth"
Godzilla Unleashed: Double Smash,2007,Action,Side view,Nintendo DS,3.5,24% (20),Santa Cruz Games,Santa Cruz Games,0.0,1.0,Fantasy
Dr. Jekyll and Mr. Hyde,1988,Action,Side view,NES,3.5,31% (8),Advance Communication Company,Advance Communication Company,0.0,1.0,2D scrolling
The Adventures of Rocky and Bullwinkle and Friends,1992,Action,Side view,NES,3.5,24% (6),Radical Entertainment Inc.,Radical Entertainment Inc.,0.0,1.0,2D scrolling
Taboo: The Sixth Sense,1989,Simulation,Cards / tiles,NES,3.6,21% (7),Rare Limited,Rare Limited,0.0,1.0,
Amy,2012,Action,3rd-person (Other),Xbox 360,3.6,26% (15),Lexis Numérique SA,Lexis Numérique SA,0.0,1.0,"Stealth, Survival horror"
Fuck Quest,1998,Adventure,3rd-person (Other),Atari ST,3.6,(29),,,0.0,1.0,Adult
Anubis II,2005,Action,Behind view,PlayStation 2,3.6,18% (8),"Metro3D Europe Ltd., Fairprice Games, Conspiracy Entertainment Corp., Popcorn Arcade",Metro3D Europe Ltd.,0.0,1.0,"Platform, Puzzle elements"
D.I.R.T.: Origin of the Species,2006,Action,Behind view,Windows,3.6,24% (13),Nu Generation Games Ltd.,Nu Generation Games Ltd.,0.0,1.0,Shooter
Vroom in the Night Sky,2017,Action,3rd-person (Other),Nintendo Switch,3.7,21% (10),"POISOFT Co., Ltd.","POISOFT Co., Ltd.",0.0,1.0,Anime / Manga
Barbie Super Model,1993,Action,Side view,DOS,3.7,21% (7),"Hi-Tech Expressions, Inc., Playtronic Industrial Ltda.","Hi-Tech Expressions, Inc.",0.0,1.0,2D scrolling
Batman: Dark Tomorrow,2003,Action,1st-person,Xbox,3.7,30% (23),"Kemco U.S.A., Inc., Kotobuki System Co., Ltd.","Kemco U.S.A., Inc.",0.0,1.0,Puzzle elements
Tunnel Rats,2009,Action,1st-person,Windows,3.7,21% (10),Replay Studios GmbH,Replay Studios GmbH,0.0,1.0,Shooter
Fighter Within,2013,Action,Side view,Xbox One,3.7,26% (16),Daoka SCRL,Daoka SCRL,0.0,1.0,Fighting
Jumper: Griffin's Story,2008,Action,Behind view,PlayStation 2,3.8,30% (22),"Brash Entertainment, LLC.","Brash Entertainment, LLC.",0.0,1.0,"Fighting, Platform"
Yaris,2007,Action,3rd-person (Other),Xbox 360,3.8,18% (6),"Castaway Entertainment, LLC","Castaway Entertainment, LLC",0.0,1.0,Shooter
Stalin vs. Martians,2009,Strategy,Diagonal-down,Windows,3.8,25% (16),"Dreamlore, N-Game Studios, OOO, Black Wing Foundation",Dreamlore,0.0,1.0,Free-roaming camera
Horse Racing 2016,2014,Sports,Behind view,Android,3.8,20% (7),Yash Future Tech Solutions Pvt Ltd,Yash Future Tech Solutions Pvt Ltd,0.0,1.0,Horse / derby
Shadow: War of Succession,1994,Action,Side view,3DO,3.8,15% (6),"Tribeca Digital Studios, Inc.","Tribeca Digital Studios, Inc.",0.0,1.0,2D scrolling
Chiller,1986,Action,1st-person,Arcade,3.8,21% (8),"Exidy, Incorporated, ShareData, Inc., American Game Cartridges, Inc.","Exidy, Incorporated",0.0,1.0,"Arcade, Shooter"
Ping Pals,2004,Action,,Nintendo DS,3.8,27% (16),"WayForward Technologies, Inc.","WayForward Technologies, Inc.",0.0,1.0,
Legends of Wrestling II,2002,Sports,Side view,Game Boy Advance,3.9,24% (11),Powerhead Games,Powerhead Games,0.0,1.0,2D scrolling
Elite Forces: Navy SEALs - Weapons of Mass Destruc...,2003,Action,1st-person,Windows,3.9,20% (8),Jarhead Games Inc.,Jarhead Games Inc.,0.0,1.0,Shooter
Airlock,1982,Action,Side view,Atari 2600,3.9,19% (7),"Data Age, Inc.","Data Age, Inc.",0.0,1.0,Fixed / flip-screen
Back to the Future,1989,Action,Top-down,NES,3.9,29% (12),"Beam Software Pty., Ltd.","Beam Software Pty., Ltd.",0.0,1.0,Licensed
Erotica Island,2001,Adventure,3rd-person (Other),Windows,3.9,18% (7),Redfire Software,Redfire Software,0.0,1.0,Puzzle elements
TV total präsentiert Wok WM,2004,Sports,3rd-person (Other),Windows,3.9,16% (7),bhv Software GmbH & Co. KG,bhv Software GmbH & Co. KG,0.0,1.0,Licensed
Pinball FX2: Bethesda Pinball,2016,DLC / Add-on,Map / level,Windows,3.9,83% (1),Zen Stúdió Kft,Zen Stúdió Kft,0.0,1.0,Licensed
Bruce Jenner's World Class Decathlon,1996,Sports,3rd-person (Other),Windows,3.9,26% (12),"Dallas Multimedia, Interactive Magic, Inc., Holy Mackerel! Media",Dallas Multimedia,0.0,1.0,Olympiad / mixed sports
Rambo: The Video Game,2014,Action,1st-person,Windows,3.9,28% (19),Reef Entertainment Ltd.,Reef Entertainment Ltd.,0.0,1.0,"Quick Time Events (QTEs), Rail shooter, Shooter"
Action 52,1993,Action,Side view,Genesis,3.9,30% (2),Active Enterprises Ltd.,Active Enterprises Ltd.,0.0,1.0,"Arcade, Platform"
Zombieville,1997,Action,3rd-person (Other),DOS,3.9,27% (8),Psygnosis Limited,Psygnosis Limited,0.0,1.0,Puzzle elements
Bugs,1982,Action,1st-person,Atari 2600,3.9,20% (6),"Data Age, Inc.","Data Age, Inc.",0.0,1.0,Fixed / flip-screen
Flak Warrior,2004,Action,1st-person,Windows,3.9,11% (5),ID Softworks,ID Softworks,0.0,1.0,"Arcade, Shooter"
Kenny Dalglish Soccer Match,1989,Action,Side view,Amiga,3.9,32% (6),Impressions Games,Impressions Games,0.0,1.0,Football (European) / Soccer
Swamp Buggy Racing,2000,Racing / Driving,1st-person,Windows,3.9,20% (7),"DayLight Productions, Inc.","DayLight Productions, Inc.",0.0,1.0,Direct control
Terrawars: NY Invasion,2006,Action,1st-person,Windows,3.9,23% (10),Ladyluck Digital Media Inc.,Ladyluck Digital Media Inc.,0.0,1.0,Shooter
Prison Tycoon 2: Maximum Security,2006,Strategy,3rd-person (Other),Windows,4.0,20% (9),Virtual Playground Ltd.,Virtual Playground Ltd.,0.0,1.0,Real-time
Bomberman: Act:Zero,2006,Action,Diagonal-down,Xbox 360,4.0,33% (25),"Hudson Soft Company, Ltd.","Hudson Soft Company, Ltd.",0.0,1.0,2D scrolling
Overlord: Fellowship of Evil,2015,Action,Diagonal-down,Windows,4.0,28% (12),"Codemasters Software Company Limited, The, Codemasters Software Inc.","Codemasters Software Company Limited, The",0.0,1.0,Fantasy
Basement Crawl,2014,Action,Diagonal-down,PlayStation 4,4.0,28% (11),Bloober Team SA,Bloober Team SA,0.0,1.0,Arcade
The History Channel: Battle for the Pacific,2007,Action,1st-person,Windows,4.0,31% (21),"Activision Value Publishing, Inc., 1C Company","Activision Value Publishing, Inc.",0.0,1.0,Shooter
Jenga World Tour,2007,Action,1st-person,Nintendo DS,4.0,31% (23),"Atari, Inc.","Atari, Inc.",0.0,1.0,Board game
Total Recall,1990,Action,Side view,NES,4.0,34% (14),"Interplay Productions, Inc.","Interplay Productions, Inc.",0.0,1.0,2D scrolling
Motorbike,2013,Racing / Driving,Side view,PlayStation 3,4.0,18% (6),baKno Games,baKno Games,0.0,1.0,Motorcycle
Last Action Hero,1994,Action,Side view,Amiga,4.0,23% (8),"Dome Software Developments, The","Dome Software Developments, The",0.0,1.0,2D scrolling
SPOGS Racing,2008,Action,1st-person,Windows,4.0,21% (7),"D2C Games, Inc.","D2C Games, Inc.",0.0,1.0,
Supercross 3D,1995,Racing / Driving,Behind view,Jaguar,4.0,27% (13),Tiertex Design Studios,Tiertex Design Studios,0.0,1.0,"Motorcycle, Off-roading, Track racing"
Afro Samurai 2: Revenge of Kuma,2015,Action,3rd-person (Other),Windows,4.0,22% (7),Versus Evil LLC,Versus Evil LLC,0.0,1.0,Cinematic camera
Apollo 18: The Moon Missions,1999,Simulation,Flight / aviation,Windows,4.0,22% (8),AIM Software Ltd.,AIM Software Ltd.,0.0,1.0,
Terminator 3: Rise of the Machines,2003,Action,1st-person,PlayStation 2,4.1,36% (38),"Atari, Inc., Atari Europe S.A.S.U.","Atari, Inc.",0.0,1.0,Shooter
Fight Club,2004,Action,3rd-person (Other),PlayStation 2,4.1,36% (43),"Vivendi Universal Games, Inc., Sierra Entertainment, Inc.","Vivendi Universal Games, Inc.",0.0,1.0,Fighting
Little Britain: The Video Game,2007,Action,3rd-person (Other),PSP,4.1,11% (5),"Mastertronic Group Ltd., Mastertronic Games Ltd.",Mastertronic Group Ltd.,0.0,1.0,"Arcade, Falling block puzzle, Tile matching puzzle, Tricks / stunts"
Street Gang,1987,Action,Side view,Commodore 64,4.1,31% (6),"Softgold Computerspiele GmbH, Players Software",Softgold Computerspiele GmbH,0.0,1.0,Fixed / flip-screen
Highlander,1986,Action,Side view,Commodore 64,4.1,37% (6),Ocean Software Ltd.,Ocean Software Ltd.,0.0,1.0,Fixed / flip-screen
Vampire Rain,2007,Action,3rd-person (Other),Xbox 360,4.1,34% (26),"AQ Interactive, Inc., Microsoft Game Studios, Microsoft Corporation, Ignition Entertainment Ltd. USA","AQ Interactive, Inc.",0.0,1.0,Stealth
Call of Duty: Black Ops - Declassified,2012,Action,1st-person,PS Vita,4.1,35% (26),"Nihilistic Software, Inc.","Nihilistic Software, Inc.",0.0,1.0,Shooter
The Texas Chainsaw Massacre,1983,Action,Side view,Atari 2600,4.1,25% (8),"VSS, Inc.","VSS, Inc.",0.0,1.0,2D scrolling
Final Fantasy: All The Bravest,2013,Role-playing (RPG),Diagonal-down,iPhone,4.1,18% (8),"Square Enix Co., Ltd.","Square Enix Co., Ltd.",0.0,1.0,Real-time
Man Enough,1994,Adventure,1st-person,DOS,4.1,24% (10),"Tsunami Media, Inc.","Tsunami Media, Inc.",0.0,1.0,Full Motion Video (FMV)
Deutschland Europameister 2000,2000,Action,3rd-person (Other),Windows,4.1,15% (5),Davilex Games B.V.,Davilex Games B.V.,0.0,1.0,Isometric
Extreme Bullrider,1999,Simulation,3rd-person (Other),Windows,4.0,19% (5),Radish Works,Radish Works,0.0,1.0,
Chase the Chuck Wagon,1983,Action,Top-down,Atari 2600,4.1,18% (5),Spectravision,Spectravision,0.0,1.0,Puzzle elements
Left Alive,2019,Action,Behind view,PlayStation 4,4.1,36% (30),"Square Enix Co., Ltd.","Square Enix Co., Ltd.",0.0,1.0,"Stealth, Tactical shooter"
StateShift,2007,Racing / Driving,Behind view,PSP,4.1,20% (5),"Midas Interactive Entertainment Ltd., Playlogic Entertainment, Inc.",Midas Interactive Entertainment Ltd.,0.0,1.0,Sci-fi / futuristic
Psycho,1988,Adventure,Side view,DOS,4.1,23% (3),"Box Office, Inc.","Box Office, Inc.",0.0,1.0,Fixed / flip-screen
Crazy Frog Racer,2005,Racing / Driving,Behind view,Windows,4.1,20% (14),"Digital Jesters Ltd., Noviy Disk, Neko Entertainment SARL",Digital Jesters Ltd.,0.0,1.0,Real-time
Pong Toss: Frat Party Games,2008,Action,1st-person,Wii,4.1,26% (9),"JV Games, Inc.","JV Games, Inc.",0.0,1.0,Ping pong / table tennis
Super Pitfall,1986,Action,Side view,NES,4.1,18% (9),"Pony, Inc., Activision, Inc., Tandy Corporation, Gradiente Industrial S.A.","Pony, Inc.",0.0,1.0,2D scrolling
Conspiracy: Weapons of Mass Destruction,2005,Action,1st-person,Windows,4.1,31% (15),"Oxygen Interactive Software Ltd., Russobit-M, Game Factory Interactive Ltd.",Oxygen Interactive Software Ltd.,0.0,1.0,Shooter
Beatdown,1999,Action,Isometric,Windows,4.1,28% (7),Soar Software,Soar Software,0.0,1.0,Real-time
Batman Beyond: Return of the Joker,2000,Action,Side view,PlayStation,4.1,30% (14),Ubi Soft Entertainment Software,Ubi Soft Entertainment Software,0.0,1.0,Beat 'em up / brawler
Mafia Contract Killer: Antikiller,2006,Action,3rd-person (Other),Windows,4.1,26% (8),Qbik Interactive,Qbik Interactive,0.0,1.0,Shooter
The Quiet Man,2018,Action,3rd-person (Other),Windows,4.1,28% (9),"Square Enix Limited, Square Enix Co., Ltd.",Square Enix Limited,0.0,1.0,Cinematic camera
SwordQuest: WaterWorld,1983,Action,Top-down,Atari 2600,4.2,21% (4),"Atari, Inc.","Atari, Inc.",0.0,1.0,Fixed / flip-screen
Fighters Uncaged,2010,Action,Behind view,Xbox 360,4.2,27% (10),Ama Studios SA,Ama Studios SA,0.0,1.0,Fighting
Crazy School: Schulverweis!,2003,Action,Top-down,Windows,4.2,16% (6),Limbic Entertainment GmbH,Limbic Entertainment GmbH,0.0,1.0,Isometric
Instruments of Chaos Starring Young Indiana Jones,1994,Action,Side view,Genesis,4.2,30% (9),"Brian A. Rice, Inc., Waterman Design, Inc.","Brian A. Rice, Inc.",0.0,1.0,2D scrolling
Call for Heroes: Pompolic Wars,2007,Action,Behind view,Windows,4.2,26% (9),Quotix Software,Quotix Software,0.0,1.0,Real-time
Cliffhanger,1993,Action,Side view,NES,4.2,27% (13),"Sony Imagesoft, Psygnosis Limited, Playtronic Industrial Ltda.",Sony Imagesoft,0.0,1.0,2D scrolling
Legend of Zord,2003,Action,3rd-person (Other),Windows,4.2,17% (6),Imaginations FZ LLC,Imaginations FZ LLC,0.0,1.0,
SAS Anti-Terror Force,2005,Action,1st-person,PlayStation 2,4.2,20% (7),"Davilex Games B.V., Frogster Interactive Pictures AG, Game Factory Interactive Ltd., Russobit-M",Davilex Games B.V.,0.0,1.0,Shooter
Gettysburg: Armored Warfare,2012,Action,1st-person,Windows,4.2,21% (7),Radioactive Software,Radioactive Software,0.0,1.0,Free-roaming camera
Gods and Generals,2003,Action,1st-person,Windows,4.2,29% (5),AniVision,AniVision,0.0,1.0,Shooter
Arthur's Quest: Battle for the Kingdom,2002,Action,1st-person,Windows,4.2,27% (5),3LV Games,3LV Games,0.0,1.0,Fantasy
Flag Capture,1978,Puzzle,Top-down,Atari 2600,4.2,26% (4),"Atari, Inc.","Atari, Inc.",0.0,1.0,Fixed / flip-screen
Panty Raider: From Here to Immaturity,2000,Action,1st-person,Windows,4.2,22% (8),"Hypnotix, Inc.","Hypnotix, Inc.",0.0,1.0,Adult
Drake of the 99 Dragons,2003,Action,Behind view,Xbox,4.2,24% (10),"Majesco Sales, Inc., Noviy Disk","Majesco Sales, Inc.",0.0,1.0,Shooter
Dragon Ball Z: Taiketsu,2003,Action,Side view,Game Boy Advance,4.2,32% (19),"Webfoot Technologies, Inc.","Webfoot Technologies, Inc.",0.0,1.0,Anime / Manga
Damnation,2009,Action,Behind view,Windows,4.2,39% (50),"Codemasters Software Company Limited, The","Codemasters Software Company Limited, The",0.0,1.0,"Quick Time Events (QTEs), Shooter"
Lazer Tag,1987,Action,Top-down,Commodore 64,4.2,32% (8),GO! Media Holdings Ltd.,GO! Media Holdings Ltd.,0.0,1.0,2D scrolling
The Stalin Subway: Red Veil,2006,Action,1st-person,Windows,4.2,26% (9),Orion,Orion,0.0,1.0,Shooter
Charlie and the Chocolate Factory,2005,Action,3rd-person (Other),PlayStation 2,4.2,38% (44),"Global Star Software Inc., Take-Two Interactive Software Europe Ltd.",Global Star Software Inc.,0.0,1.0,Puzzle elements
Emergency Rescue: Firefighters,2000,Action,Isometric,Windows,4.2,40% (5),Lupine Games,Lupine Games,0.0,1.0,
Dick Tracy,1990,Action,Side view,DOS,4.2,36% (12),"Titus France SA, Proein S.L.",Titus France SA,0.0,1.0,"Arcade, Shooter"
Cooking Mama: Mama Kills Animals,2008,Educational,1st-person,Windows,4.2,(20),peta2,peta2,0.0,1.0,Mini-games
RollerCoaster Tycoon 4 Mobile,2014,Simulation,Diagonal-down,iPhone,4.2,33% (16),"Atari Interactive, Inc.","Atari Interactive, Inc.",0.0,1.0,"Free-roaming camera, Isometric"
Sonic Jam,1998,Action,Side view,Game.Com,4.2,21% (5),"Tiger Electronics, Ltd","Tiger Electronics, Ltd",0.0,1.0,2D scrolling
Tomarc the Barbarian,1983,Action,Side view,Atari 2600,4.2,25% (2),Xonox,Xonox,0.0,1.0,Fixed / flip-screen
Alone in the Dark: Illumination,2015,Action,Behind view,Windows,4.2,25% (7),Pure FPS,Pure FPS,0.0,1.0,Shooter
